Lexically correct!
int = -1
identifier = (3,0)
[ = -1
] = -1
; = -1
int = -1
identifier = (0,0)
; = -1
int = -1
identifier = (1,0)
; = -1
int = -1
identifier = (0,1)
; = -1
identifier = (1,0)
= = -1
constant = (3,1)
; = -1
identifier = (0,0)
= = -1
constant = (3,2)
; = -1
forLoop = -1
( = -1
identifier = (0,1)
= = -1
constant = (3,1)
; = -1
identifier = (0,1)
< = -1
identifier = (0,0)
; = -1
identifier = (0,1)
= = -1
identifier = (0,1)
+ = -1
constant = (4,0)
) = -1
{ = -1
read = -1
identifier = (3,0)
[ = -1
identifier = (0,1)
] = -1
; = -1
} = -1
; = -1
forLoop = -1
( = -1
identifier = (0,1)
= = -1
constant = (3,1)
; = -1
identifier = (0,1)
< = -1
identifier = (0,0)
; = -1
identifier = (0,1)
= = -1
identifier = (0,1)
+ = -1
constant = (4,0)
) = -1
{ = -1
if = -1
( = -1
identifier = (3,0)
[ = -1
identifier = (0,1)
] = -1
% = -1
constant = (0,2)
== = -1
constant = (3,1)
) = -1
{ = -1
identifier = (1,0)
= = -1
identifier = (1,0)
+ = -1
identifier = (3,0)
[ = -1
identifier = (0,1)
] = -1
; = -1
} = -1
; = -1
} = -1
; = -1
write = -1
identifier = (1,0)
; = -1
