Lexically correct!
int = -1
identifier = (3,0)
[ = -1
constant = (4,0)
, = -1
constant = (0,0)
, = -1
constant = (1,0)
, = -1
constant = (2,0)
, = -1
constant = (3,1)
] = -1
; = -1
int = -1
identifier = (0,1)
; = -1
int = -1
identifier = (1,1)
; = -1
int = -1
identifier = (0,2)
; = -1
double = -1
identifier = (1,2)
; = -1
identifier = (0,1)
= = -1
constant = (3,2)
; = -1
identifier = (1,1)
= = -1
constant = (3,2)
; = -1
identifier = (0,2)
= = -1
constant = (3,1)
; = -1
whileLoop = -1
( = -1
identifier = (0,1)
< = -1
identifier = (0,2)
) = -1
{ = -1
identifier = (1,1)
= = -1
identifier = (1,1)
+ = -1
identifier = (3,0)
[ = -1
identifier = (0,1)
+ = -1
constant = (4,0)
] = -1
; = -1
identifier = (0,1)
= = -1
identifier = (0,1)
+ = -1
constant = (4,0)
; = -1
} = -1
; = -1
identifier = (1,2)
= = -1
identifier = (1,1)
/ = -1
identifier = (0,2)
; = -1
write = -1
identifier = (1,2)
; = -1
write = -1
constant = (0,3)
; = -1
